Age,Sex,Method_of_payment,Fidelizacion_media,Discount_type,Discount,Count_classes,Times_per_week,Favorite_class,Income,Current_membership,Fidelizacion_alta
42.0,0,1,1,13,0.0,68.0,1.0,6,599.48,8,0
34.0,0,0,0,13,0.0,78.0,3.0,6,408.87,15,0
33.0,0,2,1,13,0.0,134.0,2.0,6,1165.58,9,1
41.0,0,0,1,13,0.0,58.0,1.0,6,535.16,23,0
28.0,1,0,1,13,0.0,89.0,1.0,6,540.0,8,1
43.0,1,0,1,13,0.0,153.0,2.0,6,1096.77,12,1
39.0,0,0,1,13,0.0,87.0,1.0,6,1015.0,12,1
27.0,0,0,0,13,0.0,60.0,9.0,6,410.0,0,0
45.0,0,0,1,13,0.0,79.0,1.0,6,1105.0,23,1
26.0,1,0,0,13,0.0,3.0,0.0,4,160.0,20,0
44.0,1,1,1,13,0.0,20.0,1.0,6,65.0,15,0
31.0,1,1,0,13,0.0,7.0,0.0,6,182.42,10,0
32.0,0,0,1,13,0.0,53.0,1.0,6,470.0,23,0
34.0,0,0,1,13,0.0,256.0,4.0,6,1115.33,12,1
37.0,0,0,1,13,0.0,160.0,2.0,6,1215.0,8,1
33.0,0,0,1,13,0.0,105.0,2.0,6,675.0,23,1
33.0,0,0,1,13,0.0,130.0,2.0,6,860.0,23,1
53.0,0,0,1,13,0.0,132.0,2.0,6,765.0,23,1
24.0,1,0,1,13,0.0,259.0,4.0,6,1235.7,17,1
29.0,1,0,0,13,0.0,1.0,1.0,6,140.0,10,0
31.0,0,0,0,13,0.0,1.0,1.0,6,140.0,10,0
44.0,0,0,1,13,0.0,38.0,1.0,6,650.0,15,0
50.0,1,1,0,13,0.0,11.0,4.0,6,225.81,16,0
31.0,0,0,1,13,0.0,118.0,2.0,6,910.0,10,1
28.0,1,0,1,13,0.0,118.0,3.0,6,750.0,8,0
33.0,0,0,0,13,0.0,16.0,0.0,6,65.0,15,0
34.0,1,0,0,13,0.0,9.0,1.0,3,340.0,21,0
28.0,1,0,1,13,0.0,116.0,2.0,6,956.44,17,1
33.0,0,0,1,13,0.0,83.0,2.0,6,850.0,23,0
29.0,1,1,1,13,0.0,142.0,2.0,6,1376.45,3,1
29.0,0,0,1,13,0.0,87.0,1.0,3,1110.0,23,1
42.0,0,1,1,13,0.0,151.0,2.0,6,1281.7,18,1
28.0,1,0,0,6,10.0,16.0,0.0,6,346.0,23,0
55.0,0,1,0,13,0.0,18.0,6.0,6,165.0,16,0
32.0,0,0,0,13,0.0,8.0,0.0,4,480.0,10,0
31.0,0,1,0,13,0.0,7.0,4.0,6,70.0,10,0
31.0,0,1,1,13,0.0,7.0,0.0,6,50.0,0,1
35.0,0,0,1,13,0.0,201.0,3.0,6,1080.0,12,1
25.0,1,0,0,13,0.0,2.0,2.0,6,209.67,10,0
33.0,0,0,1,13,0.0,89.0,2.0,6,638.17,23,0
28.0,1,0,1,13,0.0,38.0,1.0,6,285.0,8,0
33.0,0,2,0,13,0.0,5.0,5.0,6,44.33,10,0
23.0,1,1,1,13,0.0,22.0,1.0,6,105.0,19,0
28.0,0,0,1,13,0.0,224.0,3.0,6,1235.7,17,1
16.0,1,1,0,13,0.0,12.0,1.0,6,35.0,23,0
30.0,0,0,1,13,0.0,255.0,4.0,6,1358.17,3,1
43.0,1,1,0,13,0.0,3.0,0.0,3,230.0,3,0
46.0,0,0,1,13,0.0,67.0,1.0,6,770.33,23,1
37.0,0,0,0,13,0.0,13.0,1.0,6,245.33,15,0
41.0,0,1,1,13,0.0,188.0,3.0,6,892.75,12,1
27.0,1,0,1,13,0.0,180.0,3.0,6,1170.7,17,1
34.0,0,0,1,13,0.0,103.0,1.0,6,1105.66,23,1
32.0,0,1,1,13,0.0,182.0,3.0,6,1038.83,12,1
31.0,0,1,1,13,0.0,196.0,3.0,6,1185.87,17,1
33.0,0,0,0,13,0.0,9.0,1.0,6,145.17,15,0
31.0,0,1,0,13,0.0,31.0,1.0,7,664.0,10,0
36.0,0,0,1,13,0.0,81.0,1.0,6,472.84,12,1
35.0,1,0,1,13,0.0,160.0,2.0,6,1007.5,8,1
36.0,0,0,1,13,0.0,47.0,1.0,5,680.0,23,0
47.0,1,0,1,13,0.0,94.0,1.0,6,810.0,10,1
31.0,1,0,1,13,0.0,6.0,0.0,6,170.0,23,0
31.0,0,0,1,13,0.0,116.0,2.0,6,795.0,15,1
22.0,1,0,1,13,0.0,133.0,2.0,6,800.0,12,1
23.0,0,0,0,13,0.0,3.0,0.0,6,130.0,15,0
42.0,0,2,0,13,0.0,13.0,0.0,6,65.0,15,0
24.0,0,0,1,13,0.0,227.0,3.0,6,850.0,12,1
25.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
48.0,1,0,0,13,0.0,15.0,1.0,6,85.0,23,0
27.0,0,0,1,13,0.0,120.0,2.0,6,930.0,3,1
27.0,1,0,1,13,0.0,135.0,3.0,6,1280.0,3,1
37.0,0,0,1,13,0.0,92.0,1.0,6,890.0,23,1
23.0,0,2,1,13,0.0,37.0,1.0,6,109.56,15,0
38.0,0,1,1,13,0.0,66.0,1.0,6,610.0,15,1
31.0,0,0,1,13,0.0,157.0,2.0,6,1265.0,3,1
25.0,0,0,0,13,0.0,9.0,3.0,6,230.32,23,0
27.0,1,0,0,13,0.0,30.0,1.0,6,108.39,10,0
27.0,0,0,1,13,0.0,10.0,0.0,3,132.58,10,0
31.0,0,0,1,5,10.0,485.0,4.0,3,2126.14,7,1
33.0,1,0,1,13,0.0,122.0,2.0,6,893.87,23,1
30.0,1,0,0,13,0.0,16.0,3.0,6,174.35,3,0
29.0,1,1,1,13,0.0,36.0,1.0,6,356.13,15,0
27.0,0,1,1,13,0.0,152.0,2.0,6,1143.8,17,1
31.0,0,1,1,13,0.0,11.0,0.0,6,220.0,0,1
27.0,0,0,0,13,0.0,69.0,2.0,6,935.0,26,0
28.0,1,1,1,13,0.0,68.0,1.0,6,616.17,23,1
40.0,0,0,1,13,0.0,20.0,0.0,6,435.0,23,1
30.0,1,0,1,13,0.0,130.0,2.0,6,590.0,8,1
29.0,0,0,1,13,0.0,29.0,1.0,6,370.0,23,0
31.0,0,1,0,13,0.0,31.0,1.0,7,30.0,20,0
31.0,0,1,0,13,0.0,16.0,1.0,3,255.0,21,0
26.0,0,0,1,13,0.0,85.0,1.0,6,765.0,23,1
30.0,1,1,0,13,0.0,9.0,9.0,6,70.0,10,0
32.0,1,1,0,13,0.0,5.0,5.0,6,70.0,10,0
35.0,1,1,0,13,0.0,7.0,1.0,6,70.0,10,0
36.0,0,1,0,13,0.0,9.0,9.0,6,70.0,10,0
40.0,0,1,0,13,0.0,6.0,0.0,6,85.0,23,0
27.0,1,0,0,13,0.0,57.0,2.0,6,410.0,10,0
26.0,1,0,1,13,0.0,10.0,0.0,6,280.0,10,0
31.0,0,0,0,13,0.0,8.0,0.0,6,160.0,15,0
27.0,0,1,1,5,10.0,33.0,0.0,6,395.5,10,1
40.0,0,0,1,13,0.0,109.0,2.0,6,805.0,12,1
31.0,0,0,1,13,0.0,35.0,1.0,6,816.0,23,1
33.0,0,1,1,13,0.0,10.0,0.0,6,110.0,0,1
28.0,1,0,1,13,0.0,421.0,6.0,6,1285.0,3,1
36.0,0,0,0,13,0.0,6.0,6.0,6,46.0,3,0
31.0,0,0,0,13,0.0,4.0,4.0,6,46.0,3,0
31.0,0,0,1,13,0.0,69.0,1.0,3,694.17,21,1
43.0,0,1,0,13,0.0,11.0,1.0,6,115.0,3,0
34.0,1,1,0,13,0.0,9.0,1.0,6,115.0,3,0
29.0,0,0,0,13,0.0,6.0,0.0,6,370.0,13,0
32.0,0,1,0,13,0.0,11.0,1.0,6,251.0,23,0
28.0,0,1,0,13,0.0,31.0,1.0,7,20.0,20,0
37.0,1,0,1,13,0.0,180.0,3.0,6,447.67,12,1
31.0,0,0,1,13,0.0,179.0,3.0,6,1105.83,3,1
30.0,1,1,0,13,0.0,40.0,2.0,6,256.5,9,0
39.0,0,0,1,13,0.0,114.0,2.0,6,910.0,8,1
29.0,1,0,1,13,0.0,162.0,2.0,6,1040.0,8,1
31.0,0,1,0,13,0.0,5.0,0.0,6,50.0,0,0
31.0,1,1,0,13,0.0,5.0,0.0,6,50.0,0,0
47.0,0,0,1,13,0.0,70.0,1.0,6,620.0,23,1
29.0,0,0,1,13,0.0,116.0,2.0,6,920.0,23,1
40.0,0,0,1,13,0.0,73.0,1.0,6,645.0,23,1
28.0,1,1,0,13,0.0,31.0,1.0,7,40.0,20,0
28.0,0,0,1,13,0.0,103.0,2.0,3,825.32,23,1
29.0,0,0,0,13,0.0,7.0,2.0,6,230.32,23,0
29.0,1,0,0,13,0.0,60.0,2.0,6,540.65,12,0
29.0,0,1,0,13,0.0,22.0,1.0,6,200.0,3,0
42.0,0,1,0,13,0.0,2.0,0.0,6,0.0,26,0
32.0,1,1,1,13,0.0,152.0,2.0,6,945.0,8,1
37.0,0,0,1,13,0.0,183.0,3.0,6,985.0,3,1
34.0,0,0,0,13,0.0,12.0,0.0,6,255.0,23,0
26.0,1,1,0,13,0.0,4.0,4.0,6,140.0,10,0
28.0,0,1,0,13,0.0,31.0,1.0,7,50.0,0,0
31.0,0,1,0,13,0.0,1.0,1.0,6,0.0,26,0
28.0,0,1,0,13,0.0,98.0,3.0,6,1207.1,3,0
33.0,0,1,0,13,0.0,46.0,2.0,6,690.4,10,0
27.0,0,0,0,13,0.0,51.0,2.0,6,510.0,23,0
25.0,1,0,1,13,0.0,11.0,0.0,6,340.0,23,0
51.0,1,1,0,13,0.0,8.0,1.0,6,65.0,15,0
32.0,1,0,1,13,0.0,23.0,0.0,6,465.0,10,1
29.0,0,1,1,13,0.0,112.0,2.0,6,990.0,8,1
